id,name,active,code_variedad,description
1,SP81-3250,true,SP81-3250,
2,SP70-1284,true,SP70-1284,
3,B82-333,true,B82-333,
4,CP72-2086,true,CP72-2086,
5,Sem-Basic,true,Sem-Basic,
6,CC01-1940,true,CC01-1940,
7,CP08-2026,true,CP08-2026,
8,CP89-2376,true,CP89-2376,
9,PCG12-745,true,PCG12-745,
10,CP08-1030,true,CP08-1030,
11,CPCL02-6848,true,CPCL02-6848,
12,CP06-2400,true,CP06-2400,
13,PR75-2002,true,PR75-2002,
14,Crotalaria,true,Crotalaria,
15,CP08-2218,true,CP08-2218,
16,Sem-Basi,true,Sem-Basi,
17,Banco\Var,true,Banco\Var,
18,Mex79-431,true,Mex79-431,
19,CP01-1372,true,CP01-1372,
20,SP81-3250      ,true,SP81-3250      ,
21,Ensayos,true,Ensayos,
